schema_version,result_version,candidate_id,priority,parameter,direction,candidate_value,candidate_unit,source_recommendation,trigger_metric,data_source,engineering_validity,strategy,candidate_kind,changed_parameters,parameters_json,search_score,rationale
1.0,1.0,cand_001,85,drive_resistance,review_timing,1000,ohm,overlap_timing_review,Max_overlap_ratio,real_simulation_csv,simulation_only,constrained_random,single_parameter,drive_resistance,"{""drive_resistance"": 1000}",85.0,single-parameter constrained candidate from rule triggers: drive_resistance review_timing
1.0,1.0,cand_002,85,drive_resistance,review_timing,1500,ohm,overlap_timing_review,Max_overlap_ratio,real_simulation_csv,simulation_only,constrained_random,single_parameter,drive_resistance,"{""drive_resistance"": 1500}",85.0,single-parameter constrained candidate from rule triggers: drive_resistance review_timing
1.0,1.0,cand_003,85,drive_resistance,review_timing,2000,ohm,overlap_timing_review,Max_overlap_ratio,real_simulation_csv,simulation_only,constrained_random,single_parameter,drive_resistance,"{""drive_resistance"": 2000}",85.0,single-parameter constrained candidate from rule triggers: drive_resistance review_timing
1.0,1.0,cand_004,85,drive_resistance;transistor_width,review_timing;increase,1000,ohm,overlap_timing_review;delay_drive_load_review,Max_overlap_ratio;Delay_mean,real_simulation_csv,simulation_only,constrained_random,two_parameter_combo,drive_resistance;transistor_width,"{""drive_resistance"": 1000, ""transistor_width"": 8e-07}",80.0,"two-parameter constrained candidate from rule triggers: drive_resistance review_timing, transistor_width increase"
1.0,1.0,cand_005,85,drive_resistance;transistor_width,review_timing;increase,1000,ohm,overlap_timing_review;delay_drive_load_review,Max_overlap_ratio;Delay_mean,real_simulation_csv,simulation_only,constrained_random,two_parameter_combo,drive_resistance;transistor_width,"{""drive_resistance"": 1000, ""transistor_width"": 1e-06}",80.0,"two-parameter constrained candidate from rule triggers: drive_resistance review_timing, transistor_width increase"
1.0,1.0,cand_006,85,drive_resistance;transistor_width,review_timing;increase,1000,ohm,overlap_timing_review;delay_drive_load_review,Max_overlap_ratio;Delay_mean,real_simulation_csv,simulation_only,constrained_random,two_parameter_combo,drive_resistance;transistor_width,"{""drive_resistance"": 1000, ""transistor_width"": 1.2e-06}",80.0,"two-parameter constrained candidate from rule triggers: drive_resistance review_timing, transistor_width increase"
1.0,1.0,cand_007,85,drive_resistance;transistor_width,review_timing;increase,1500,ohm,overlap_timing_review;delay_drive_load_review,Max_overlap_ratio;Delay_mean,real_simulation_csv,simulation_only,constrained_random,two_parameter_combo,drive_resistance;transistor_width,"{""drive_resistance"": 1500, ""transistor_width"": 8e-07}",80.0,"two-parameter constrained candidate from rule triggers: drive_resistance review_timing, transistor_width increase"
1.0,1.0,cand_008,85,drive_resistance;transistor_width,review_timing;increase,1500,ohm,overlap_timing_review;delay_drive_load_review,Max_overlap_ratio;Delay_mean,real_simulation_csv,simulation_only,constrained_random,two_parameter_combo,drive_resistance;transistor_width,"{""drive_resistance"": 1500, ""transistor_width"": 1e-06}",80.0,"two-parameter constrained candidate from rule triggers: drive_resistance review_timing, transistor_width increase"
1.0,1.0,cand_009,85,drive_resistance;transistor_width,review_timing;increase,2000,ohm,overlap_timing_review;delay_drive_load_review,Max_overlap_ratio;Delay_mean,real_simulation_csv,simulation_only,constrained_random,two_parameter_combo,drive_resistance;transistor_width,"{""drive_resistance"": 2000, ""transistor_width"": 1e-06}",80.0,"two-parameter constrained candidate from rule triggers: drive_resistance review_timing, transistor_width increase"
1.0,1.0,cand_010,80,drive_resistance,decrease,1000,ohm,delay_drive_load_review,Delay_mean,real_simulation_csv,simulation_only,constrained_random,single_parameter,drive_resistance,"{""drive_resistance"": 1000}",80.0,single-parameter constrained candidate from rule triggers: drive_resistance decrease
